,requirement_id,requirement,skill_id,skill
0,3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",1,Experience with hydrogen fueling equipment and systems
1,3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",2,Experience with on-site hydrogen generation
2,3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",3,Experience with hydrogen compression
3,3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",4,Experience with hydrogen cooling systems
4,3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",5,Experience with hydrogen storage
5,3,"Experience and knowledge of hydrogen fueling equipment, technology and systems including on-site generation, compression, cooling systems, storage, and dispensing",6,Experience with hydrogen dispensing
6,4,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",7,Knowledge of hydrogen technologies
7,4,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",8,Understanding the socio-economic benefits of hydrogen
8,4,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",9,Understanding the environmental benefits of hydrogen
9,4,"Knowledge of hydrogen technologies and value proposition and benefits re: socio-economic, environment, climate change, etc.",10,Understanding hydrogen's role in addressing climate change
10,6,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression,11,Knowledge of key instrumentation for hydrogen pipelines
11,6,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression,12,Knowledge of electrical equipment for hydrogen pipelines
12,6,Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression,13,Knowledge of systems associated with hydrogen pipeline transmission
13,6,Knowledge of compression systems in hydrogen pipelines,14,Knowledge of compression systems in hydrogen pipelines
